CO2 (ppm),Timestamp,Hour,Day,Month
1541.9,2024-07-09 15:28:10,15,9,7
1535.5,2024-07-09 15:28:12,15,9,7
1509.7,2024-07-09 15:28:14,15,9,7
1490.6,2024-07-09 15:28:16,15,9,7
1481.1,2024-07-09 15:28:18,15,9,7
1463.1,2024-07-09 15:28:20,15,9,7
1444.1,2024-07-09 15:28:22,15,9,7
1425.8,2024-07-09 15:28:24,15,9,7
1373.9,2024-07-09 15:28:26,15,9,7
1392.7,2024-07-09 15:28:28,15,9,7
1412.2,2024-07-09 15:28:30,15,9,7
1407.7,2024-07-09 15:28:32,15,9,7
1400.9,2024-07-09 15:28:34,15,9,7
1409.6,2024-07-09 15:28:36,15,9,7
1411.2,2024-07-09 15:28:39,15,9,7
1411.4,2024-07-09 15:28:41,15,9,7
1414.1,2024-07-09 15:28:43,15,9,7
1415.6,2024-07-09 15:28:45,15,9,7
1419.1,2024-07-09 15:28:47,15,9,7
1420.9,2024-07-09 15:28:49,15,9,7
1418.4,2024-07-09 15:28:51,15,9,7
1421.3,2024-07-09 15:28:53,15,9,7
1424.5,2024-07-09 15:28:55,15,9,7
1424.7,2024-07-09 15:28:57,15,9,7
1423.8,2024-07-09 15:28:59,15,9,7
1420.7,2024-07-09 15:29:01,15,9,7
1422.1,2024-07-09 15:29:03,15,9,7
1423.8,2024-07-09 15:29:05,15,9,7
1424.2,2024-07-09 15:29:08,15,9,7
1424.6,2024-07-09 15:29:10,15,9,7
1425.0,2024-07-09 15:29:12,15,9,7
1421.9,2024-07-09 15:29:14,15,9,7
1424.0,2024-07-09 15:29:16,15,9,7
1425.3,2024-07-09 15:29:18,15,9,7
1426.0,2024-07-09 15:29:20,15,9,7
1426.5,2024-07-09 15:29:22,15,9,7
1425.3,2024-07-09 15:29:24,15,9,7
1426.0,2024-07-09 15:29:26,15,9,7
1424.5,2024-07-09 15:29:28,15,9,7
1423.5,2024-07-09 15:29:30,15,9,7
1422.9,2024-07-09 15:29:32,15,9,7
1422.8,2024-07-09 15:29:35,15,9,7
1422.6,2024-07-09 15:29:37,15,9,7
1423.3,2024-07-09 15:29:39,15,9,7
1422.0,2024-07-09 15:29:41,15,9,7
1421.6,2024-07-09 15:29:43,15,9,7
1421.9,2024-07-09 15:29:45,15,9,7
1422.6,2024-07-09 15:29:47,15,9,7
1423.4,2024-07-09 15:29:49,15,9,7
1599.0,2024-07-09 15:30:08,15,9,7
1593.7,2024-07-09 15:30:10,15,9,7
1576.1,2024-07-09 15:30:12,15,9,7
1566.7,2024-07-09 15:30:14,15,9,7
1551.9,2024-07-09 15:30:16,15,9,7
